pitcher,pitch_type,n,naive_in,inferred_in
Ben Brown,KC,286,13.986617740057506,12.802357371102087
Ben Casparius,ALL,148,17.20862407056114,11.217799350620066
Ben Casparius,CU,16,14.276204369649513,12.59287540020551
Ben Casparius,FC,6,6.137336359511101,10.300924040377598
Ben Casparius,FF,72,19.310572647202598,10.612609580548092
Ben Casparius,SI,1,4.90726182431072,11.964055536612666
Ben Casparius,ST,53,14.523485863489094,12.324246534651616
Ben Heller,ALL,226,11.688906884366823,10.62030578052929
Ben Heller,CH,44,14.35263066330816,9.394715092359696
Ben Heller,FC,46,12.894722102198134,12.011408662744623
Ben Heller,FF,27,10.102366865853114,9.891479439651286
Ben Heller,SI,59,10.242287644243529,10.01051036395484
Ben Heller,SL,41,12.394384852736389,11.904530098740738
Ben Heller,ST,9,18.80065000233938,19.136499502234052
Ben Joyce,ALL,488,12.002428276958842,10.358788063003022
Ben Joyce,CH,20,13.559395129299535,13.502179078333128
Ben Joyce,FF,221,12.107257256539876,10.26375868270762
Ben Joyce,SI,168,10.915088461354657,9.62406229132402
Ben Joyce,SL,79,12.714982265587702,11.31562422265724
Ben Lively,ALL,2333,8.802207763667386,8.483073610123691
Ben Lively,CH,207,10.462903463710823,9.033399629834486
Ben Lively,CU,199,11.44604119446333,10.898031011811142
Ben Lively,FC,2,11.787441550933863,12.229161858940966
Ben Lively,FF,719,8.355710131713032,7.780933354704324
Ben Lively,SI,700,7.611540727597609,7.628040686750137
Ben Lively,SL,113,8.845016069231125,8.486644392520402
Ben Lively,ST,393,10.157695761282087,9.709981624169128
Ben Rortvedt,ALL,33,14.798199510272394,12.77187847918284
Ben Rortvedt,CH,5,18.716978521541506,17.550573533711653
Ben Rortvedt,EP,9,18.65885422811478,12.050121542226075
Ben Rortvedt,FA,19,13.268436332314096,12.100254063991294
Blair Henley,ALL,38,10.066365600310748,10.962441154913524
Blair Henley,CH,2,21.08526619244161,18.99419215006795
Blair Henley,CU,9,11.475432896226705,12.608901075597586
Blair Henley,FC,1,23.77832336412444,22.218066310847988
Blair Henley,FF,15,7.682376145192552,9.12784337108556
Blair Henley,SI,6,10.910513140395604,11.574871496571237
Blair Henley,ST,5,7.229204857083978,7.670213932499
Blake Snell,ALL,1654,10.208279966430451,9.032107462041754
Blake Snell,CH,293,9.227750984228372,8.091061346887592
Blake Snell,CU,426,14.300869067414347,11.504050888279632
Blake Snell,FF,767,8.986271874591182,8.261795189746312
Blake Snell,SI,1,5.443032835984519,5.266663708439265
Blake Snell,SL,167,12.952877817514658,10.262193813991281
Blake Treinen,ALL,698,12.197473639533005,9.480563426054673
Blake Treinen,FC,111,11.300152198414505,8.79906082367913
Blake Treinen,FF,76,11.9051622174009,8.683085321075488
Blake Treinen,SI,236,12.71000718524593,9.121420578576737
Blake Treinen,ST,275,12.32461821161591,9.903886253334566
Blake Walston,ALL,330,11.159264807935692,10.777818381521204
Blake Walston,CH,55,13.21352899539074,13.2125500976155
Blake Walston,CU,44,11.307158316790968,11.050598698977677
Blake Walston,FC,54,9.115882418635474,9.128039648568258
Blake Walston,FF,109,12.643244575942688,11.536739451542637
Blake Walston,SI,12,15.93413204106665,11.516715002914186
Blake Walston,ST,56,11.099010471933687,10.032390830634897
Bobby Miller,ALL,836,13.21202935655224,11.009692533722186
Bobby Miller,CH,166,13.689665104852608,13.991642738679129
Bobby Miller,CU,163,12.153691470873415,11.176438444390753
Bobby Miller,FF,301,13.980043987727845,9.992088707689513
Bobby Miller,SI,131,12.297264768478172,10.68063966134382
Bobby Miller,SL,75,13.25540596353748,12.357778235054761
Bowden Francis,ALL,1446,10.562575868731553,9.776570019800658
Bowden Francis,CU,259,12.313992085562539,11.389861063111647
